Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_0603_1608Metric",140.500000,-67.250000,90.000000,bottom
"C102","100n","C_0603_1608Metric",122.759800,-67.328160,270.000000,bottom
"C103","100n","C_0603_1608Metric",129.958242,-58.069160,180.000000,bottom
"C104","10n","C_0603_1608Metric",133.750000,-74.750000,0.000000,bottom
"C105","4.7u","C_0603_1608Metric",138.500000,-67.250000,90.000000,bottom
"C106","4.7u","C_0603_1608Metric",129.958243,-59.777456,180.000000,bottom
"C107","1u","C_0603_1608Metric",130.250000,-74.750000,180.000000,bottom
"C108","4.7u","C_0603_1608Metric",121.045300,-67.328160,270.000000,bottom
"C109","4.7n","C_0603_1608Metric",41.205800,-3.828160,90.000000,bottom
"C110","1u","C_0603_1608Metric",120.072800,-25.100660,90.000000,bottom
"C111","1u","C_0603_1608Metric",126.613300,-24.846660,270.000000,bottom
"C112","10u","C_0603_1608Metric",154.250000,-20.250000,180.000000,bottom
"C113","1u","C_0603_1608Metric",155.000000,-23.250000,90.000000,bottom
"D101","SMF9.0CA","D_SOD-123",58.731800,-4.653660,90.000000,bottom
"D102","D_Schottky","D_SOD-123",123.755800,-20.973160,0.000000,bottom
"D201","D","D_SOD-123",123.959000,-16.750000,90.000000,bottom
"D208","D","D_SOD-123",123.882800,-36.750000,90.000000,bottom
"D215","D","D_SOD-123",114.611800,-44.250000,270.000000,bottom
"D222","D","D_SOD-123",152.500000,-56.000000,90.000000,bottom
"D223","D","D_SOD-123",23.556000,-58.156000,270.000000,bottom
"D224","D","D_SOD-123",47.306000,-58.156000,270.000000,bottom
"D225","D","D_SOD-123",71.056000,-58.156000,270.000000,bottom
"D226","D","D_SOD-123",113.468800,-56.000000,270.000000,bottom
"D227","D","D_SOD-123",171.888800,-58.156000,270.000000,bottom
"D228","D","D_SOD-123",189.821200,-58.156000,270.000000,bottom
"D229","D","D_SOD-123",213.571200,-58.156000,270.000000,bottom
"D230","D","D_SOD-123",237.321200,-58.000000,270.000000,bottom
"DD202","BAV70","SOT23-3_HSOL",29.006180,-16.380840,0.000000,bottom
"DD203","BAV70","SOT23-3_HSOL",67.006180,-16.380840,0.000000,bottom
"DD204","BAV70","SOT23-3_HSOL",105.006180,-16.380840,0.000000,bottom
"DD205","BAV70","SOT23-3_HSOL",162.006180,-16.380840,0.000000,bottom
"DD206","BAV70","SOT23-3_HSOL",200.006180,-16.380840,0.000000,bottom
"DD207","BAV70","SOT23-3_HSOL",238.006180,-16.380840,0.000000,bottom
"DD209","BAV70","SOT23-3_HSOL",24.187800,-36.975160,0.000000,bottom
"DD210","BAV70","SOT23-3_HSOL",62.187800,-36.975160,0.000000,bottom
"DD211","BAV70","SOT23-3_HSOL",100.187800,-36.975160,0.000000,bottom
"DD212","BAV70","SOT23-3_HSOL",166.687800,-36.975160,0.000000,bottom
"DD213","BAV70","SOT23-3_HSOL",204.687800,-36.975160,0.000000,bottom
"DD214","BAV70","SOT23-3_HSOL",242.687800,-36.975160,0.000000,bottom
"DD216","BAV70","SOT23-3_HSOL",19.615800,-43.833160,180.000000,bottom
"DD217","BAV70","SOT23-3_HSOL",57.615800,-43.833160,180.000000,bottom
"DD218","BAV70","SOT23-3_HSOL",95.615800,-43.833160,180.000000,bottom
"DD219","BAV70","SOT23-3_HSOL",171.615800,-43.833160,180.000000,bottom
"DD220","BAV70","SOT23-3_HSOL",209.615800,-43.833160,180.000000,bottom
"DD221","BAV70","SOT23-3_HSOL",247.615800,-43.833160,180.000000,bottom
"F101","ASMD1206-150","Fuse_1206_3216Metric",56.001300,-4.653660,90.000000,bottom
"J101","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",47.897200,0.820400,0.000000,bottom
"Q101","2N7002","SOT-23",152.000000,-23.250000,0.000000,bottom
"R101","5.1k","R_0603_1608Metric",44.063300,-5.415660,0.000000,bottom
"R102","5.1k","R_0603_1608Metric",51.746800,-5.415660,180.000000,bottom
"R103","1M","R_1206_3216Metric",37.649800,-3.891660,0.000000,bottom
"R104","10k","R_0603_1608Metric",146.250000,-27.500000,0.000000,bottom
"R105","10k","R_0603_1608Metric",149.000000,-23.250000,90.000000,bottom
"R106","100k","R_0603_1608Metric",152.000000,-26.250000,0.000000,bottom
"SW101","TS-1187A-B-A-B","SW_SPST_TL3342",143.488800,-23.072660,0.000000,bottom
"U101","STM32F072C8Tx","LQFP-48_7x7mm_P0.5mm",130.695840,-67.316149,135.000000,bottom
"U102","XC6206PxxxMR","SOT-23",123.565300,-24.846660,270.000000,bottom
"U103","SRV05-4","SOT-23-6",47.873300,-8.400160,0.000000,bottom
