"Comment","Designator","Footprint","LCSC Part #"
"100n","C101,C102,C103","C_0603_1608Metric","C14663"
"10n","C104","C_0603_1608Metric","C57112"
"4.7u","C106,C108,C105","C_0603_1608Metric","C19666"
"1u","C107,C111,C110,C113","C_0603_1608Metric","C15849"
"4.7n","C109","C_0603_1608Metric","C53987"
"10u","C112","C_0603_1608Metric","C19702"
"SMF9.0CA","D101","D_SOD-123","C123799"
"D_Schottky","D102","D_SOD-123","C8598"
"D","D201,D208,D215,D222,D223,D224,D225,D226,D227,D228,D229,D230","D_SOD-123","C8598"
"BAV70","DD202,DD209,DD210,DD211,DD216,DD218,DD219,DD220,DD221,DD217,DD212,DD213,DD214,DD207,DD206,DD205,DD204,DD203","SOT23-3_HSOL","C68978"
"ASMD1206-150","F101","Fuse_1206_3216Metric","C135341"
"2N7002","Q101","SOT-23","C8545"
"5.1k","R101,R102","R_0603_1608Metric","C23186"
"1M","R103","R_1206_3216Metric","C17927"
"10k","R105,R104","R_0603_1608Metric","C25804"
"100k","R106","R_0603_1608Metric","C25803"
"TS-1187A-B-A-B","SW101","SW_SPST_TL3342","C318884"
"STM32F072C8Tx","U101","LQFP-48_7x7mm_P0.5mm","C80488"
"XC6206PxxxMR","U102","SOT-23","C5446"
"SRV05-4","U103","SOT-23-6","C85364"
